3.261,2.9284,4.1053,3.1915,1.7948,1.5325,3.5014,1.4665,3.2579,3.17,3.4859
2.9072,3.5663,1.6622,2.0924,1.6144,2.1814,2.0494,3.7321,2.3457,2.2234,1.6546
0.81602,2.0567,0.82658,1.1926,3.2532,3.5185,0.57038,2.1941,1.2905,0.7464,1.3842
3.2905,2.9581,4.1123,3.2047,1.7936,1.4915,3.5222,1.4899,3.2746,3.1966,3.4906
2.8984,3.5784,1.6779,2.1051,1.5915,2.1683,2.0386,3.7577,2.337,2.2185,1.6756
3.816,3.7718,3.6034,3.4003,1.2431,1.5104,3.6719,2.4363,3.2363,3.168,2.8876
0.84552,2.2293,0.66491,1.1815,3.19,3.4939,0.51028,2.5142,1.254,0.83486,1.243
0.93001,2.3585,0.55654,1.1301,3.0894,3.4339,0.51713,2.7428,1.2573,0.90896,1.1666
3.5118,3.8376,2.4218,2.6743,1.2288,1.8396,2.8028,3.4598,2.7861,2.6236,2.0571
3.376,3.0749,4.0881,3.2749,1.7323,1.5159,3.5686,1.5759,3.2745,3.2052,3.4593
0.84101,2.1807,0.70995,1.179,3.1929,3.5168,0.52197,2.4042,1.2535,0.81941,1.2792
2.6738,2.1044,4.0718,2.6899,2.2422,1.8154,2.9896,0.84923,3.1151,2.7332,3.6889
2.0988,1.5442,3.6154,2.2358,2.6122,2.2527,2.4171,0.54638,2.7956,2.08,3.4633
3.3581,3.0673,4.0936,3.2415,1.7309,1.5211,3.5575,1.5312,3.268,3.2134,3.469
2.838,2.322,4.1358,2.8388,2.1203,1.7124,3.1548,0.9986,3.1771,2.9088,3.6979
1.633,2.947,0.6994,1.3627,2.5599,2.9855,0.88033,3.5804,1.5472,1.4767,1.1848
0.83703,2.0741,0.82488,1.2084,3.266,3.5566,0.56813,2.2207,1.2832,0.81205,1.4108
2.6381,3.4643,1.4341,1.9272,1.8136,2.3898,1.7626,3.8268,2.1552,2.0872,1.5574
0.87729,2.2499,0.70336,1.1948,3.185,3.5665,0.53331,2.5497,1.2475,0.88526,1.3046
3.4982,3.8538,2.3955,2.6524,1.2725,1.9468,2.7306,3.5299,2.7341,2.6413,2.0848
2.8004,2.2524,4.1647,2.8269,2.1753,1.8324,3.1076,0.93968,3.1408,2.8938,3.7792
2.1472,3.22,1.0338,1.6194,2.1774,2.7593,1.2812,3.7806,1.8177,1.832,1.3786
2.1185,1.588,3.6579,2.2576,2.6254,2.4069,2.4345,0.56999,2.7516,2.13,3.5723
3.7737,3.9564,2.799,2.9405,1.1683,1.861,3.1279,3.3312,2.9078,2.8611,2.3533
1.1037,2.536,0.65911,1.2389,3.0489,3.5335,0.58105,2.9445,1.2794,1.1185,1.2775
3.622,3.3784,4.1179,3.4309,1.5807,1.6719,3.7023,1.8456,3.3063,3.3986,3.497
3.7306,3.9621,2.7032,2.886,1.2024,1.9877,2.9814,3.4417,2.8592,2.8449,2.3352
2.7865,3.5713,1.6,2.0178,1.8084,2.5543,1.8334,3.8593,2.1709,2.2415,1.7591
4.0284,4.0437,3.4465,3.3734,1.1658,1.8226,3.5898,2.8724,3.1602,3.2192,2.8423
1.2819,1.6068,2.196,1.6581,3.1763,3.5163,1.284,1.1118,1.842,1.1842,2.5795
3.0142,2.4285,4.3462,2.9697,2.1636,2.034,3.2495,1.0732,3.193,3.1365,3.9788
2.4126,3.4401,1.3285,1.8087,2.1084,2.8995,1.4552,3.8871,1.9146,2.0844,1.6788
1.7448,1.5244,3.0644,2.0007,2.9521,3.194,1.857,0.7301,2.3339,1.6794,3.2519
1.3847,2.8098,0.8051,1.3727,2.936,3.6738,0.68898,3.2757,1.3219,1.4205,1.486
3.6665,3.9865,2.5315,2.7634,1.3268,2.3319,2.7512,3.686,2.7042,2.8502,2.3924
3.3541,3.8599,2.2018,2.474,1.5204,2.552,2.3661,3.8434,2.4874,2.6797,2.2283
1.428,1.6862,2.4075,1.7992,3.1853,3.7006,1.4005,1.1316,1.8835,1.3741,2.8236
1.3621,1.7675,2.1867,1.7121,3.2231,3.84,1.2513,1.3031,1.7823,1.292,2.6477
3.8172,3.5181,4.3954,3.5708,1.6324,2.021,3.7881,1.8947,3.327,3.6753,3.8855
4.2253,4.2416,3.5824,3.5245,1.1475,2.1683,3.6331,3.0466,3.1422,3.4363,3.0951
1.3346,2.713,0.95505,1.442,3.0841,3.9955,0.70281,3.0485,1.2831,1.4121,1.7302
3.8816,3.6301,4.428,3.6627,1.6056,2.0926,3.8454,1.9886,3.3115,3.7416,3.9195
2.7934,2.1356,4.3608,2.7949,2.439,2.6283,2.9457,0.88673,3.0244,2.9797,4.2648
3.1107,2.4871,4.5567,3.0622,2.2388,2.4455,3.2578,1.0706,3.1819,3.2896,4.3415
1.2234,2.262,1.4562,1.5655,3.3182,4.205,0.87475,2.1482,1.3977,1.2733,2.193
2.9214,2.269,4.4728,2.9229,2.3752,2.6133,3.0489,0.94387,3.0573,3.1038,4.3627
3.2435,3.8676,2.061,2.3752,1.7078,2.9597,2.1714,3.9919,2.3191,2.704,2.314
2.5152,1.8885,4.1135,2.5691,2.6534,2.9736,2.6168,0.7679,2.8159,2.6217,4.1628
4.2775,4.1727,4.1057,3.7343,1.2811,2.2119,3.888,2.6459,3.2622,3.7179,3.5799
1.27,2.289,1.4857,1.5969,3.3031,4.2499,0.86289,2.1884,1.3813,1.3293,2.2351
3.3253,2.7292,4.6448,3.224,2.1283,2.4114,3.4247,1.2299,3.2282,3.5074,4.4136
